E_eV,V_m_per_s,I1,I2,I3,Phi
23500.071432694094,90920180.25762777,-1.0714562301281601e-13,-7.582157633485431e-14,-3.236677092881887e-17,-1.8299956611859913e-13
24901.551974979007,93592038.02981977,-1.0408683861587901e-13,-7.365702823552151e-14,-3.144276702541663e-17,-1.7777530961842593e-13
26386.61301683937,96342413.28772943,-1.0111537614329002e-13,-7.155427347656496e-14,-3.054514150913805e-17,-1.7270019476136413e-13
27960.239072650154,99173613.41299489,-9.822874273596439e-14,-6.951154798680697e-14,-2.9673141331966005e-17,-1.6776996386410333e-13
29627.711919708698,102088013.59393433,-9.542451670075276e-14,-6.752713805562807e-14,-2.8826034943836016e-17,-1.6298048079132467e-13
31394.628326189355,105088058.8181706,-9.270034547880183e-14,-6.559937889527804e-14,-2.8003111678914404e-17,-1.583277274857588e-13
33266.91883634535,108176265.92381307,-9.005394367191409e-14,-6.372665324422988e-14,-2.7203681159397038e-17,-1.5380780059730336e-13
35250.86767600913,111355225.71091712,-8.748309112525107e-14,-6.190739001040513e-14,-2.64270727163283e-17,-1.4941690820837253e-13
37353.133845202785,114627605.1149928,-8.498563106477123e-14,-6.014006295313214e-14,-2.5672634826954547e-17,-1.4515136665273033e-13
39580.77346865453,117996149.44438611,-8.255946828784032e-14,-5.842318940273199e-14,-2.4939734568139897e-17,-1.4100759742514046e-13
41941.263479239446,121463684.68340985,-8.020256740549577e-14,-5.675532901665725e-14,-2.4227757085385865e-17,-1.3698212417923842e-13
44442.526713836356,125033119.86315611,-7.79129511348911e-14,-5.513508257114064e-14,-2.3536105077009435e-17,-1.3307156981110875e-13
47092.958505833616,128707449.50197972,-7.568869864048716e-14,-5.356109078733941e-14,-2.2864198293046687e-17,-1.2927265362611962e-13
49901.45486353981,132489756.11769968,-7.352794392259917e-14,-5.203203319099089e-14,-2.2211473048461758e-17,-1.255821885866385e-13
52877.44232907843,136383212.81362614,-7.142887425194726e-14,-5.054662700462268e-14,-2.1577381750252628e-17,-1.2199707863832019e-13
56030.90961798617,140391085.9405828,-6.938972864889731e-14,-4.910362607138774e-14,-2.0961392438057102e-17,-1.1851431611272312e-13
59372.441145710975,144516737.83715782,-6.740879640611635e-14,-4.770181980962169e-14,-2.0362988337873435e-17,-1.151309792040759e-13
62913.25255353957,148763629.6504816,-6.548441565340312e-14,-4.6340032197245596e-14,-1.9781667428521433e-17,-1.1184422951807724e-13
66665.22835319501,153135324.2398991,-6.361497196348956e-14,-4.5017120785161704e-14,-1.9216942020480067e-17,-1.0865130969067174e-13
70640.9618164559,157635489.1659711,-6.179889699764392e-14,-4.373197573881472e-14,-1.8668338346748508e-17,-1.0554954107480539e-13
74853.79724368441,162267899.7673134,-6.003466718993915e-14,-4.248351890711461e-14,-1.8135396165387122e-17,-1.0253632149321915e-13
79317.87475313466,167036442.32785454,-5.83208024690823e-14,-4.127070291793961e-14,-1.7617668373405154e-17,-9.960912305539532e-14
84048.17774137396,171945117.337169,-5.665586501673358e-14,-4.009251029946077e-14,-1.7114720631671116e-17,-9.676549003682601e-14
89060.58317411506,176998042.84662145,-5.503845806127236e-14,-3.8947952626550897e-14,-1.6626131000531168e-17,-9.40030368188238e-14
94371.91487625704,182199457.92413768,-5.3467224705998905e-14,-3.7836069691561704e-14,-1.615148958582987e-17,-9.131944588714644e-14
100000.0,187553726.21050018,-5.194084679078839e-14,-3.675592869877353e-14,-1.5690398195036265e-17,-8.871246588775696e-14
